
WARNING | Sat Jul 13 11:26:04 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jul 13 15:30:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jul 13 15:30:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sun Jul 14 02:55:46 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul 14 15:19:12 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul 14 22:29:34 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul 15 03:09:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul 15 03:09:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 16 10:00:56 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 16 10:01:03 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 16 12:11:37 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 16 12:12:54 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Tue Jul 16 16:52:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 17 02:50:00 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 17 10:48:06 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Thu Jul 18 09:34:15 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Thu Jul 18 14:21:05 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 19 15:27:05 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 19 15:27:07 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jul 20 17:48:34 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jul 20 17:48:40 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jul 20 17:50:18 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jul 20 17:50:20 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jul 20 23:12:08 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul 21 19:53:07 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 24 08:43:55 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 24 11:41:19 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 26 03:06:11 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul 29 17:32:26 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 30 00:38:32 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 30 08:17:28 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 30 08:19:14 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul 30 11:21:20 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 31 04:38:26 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 31 04:38:36 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 31 04:38:40 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
